DATA,LAHTI,PORVO,MUSTI,FLOW
10/31/2001,23.7,15.4,21.5,8.54
11/1/2001,6.5,2.6,2.1,26.32
11/2/2001,0.3,0,0.1,37.83
11/3/2001,0.06,0,0,37.31
11/4/2001,0,0.4,1,36.26
11/5/2001,0,0,0.06,26.32
11/6/2001,11.2,11.8,16.7,19
11/7/2001,1,2.8,2.7,16.91
11/8/2001,0,4.2,4.5,15.6
11/9/2001,0,3,0.1,16.65
11/10/2001,1.8,1.7,2.7,14.29
11/11/2001,2.4,0.2,1.9,24.23
11/12/2001,0,0,0.1,25.28
11/13/2001,0.2,0.5,0.5,27.11
11/14/2001,0,0,0.1,24.75
11/15/2001,7.1,8.8,7.4,19.26
11/16/2001,1.4,0.6,2.4,15.6
11/17/2001,1.1,0.06,0.2,17.56
11/18/2001,0,0,0,19.26
11/19/2001,0.06,0,0,16.91
11/20/2001,0.06,0,0,12.98
11/21/2001,0.4,2,3.9,9.06
11/22/2001,0.2,10.2,3.7,8.28
11/23/2001,0,1.7,0.7,7.49
11/24/2001,0.1,0.3,0.1,7.23
11/25/2001,0.06,0,0.2,6.45
11/26/2001,0.2,0,0.1,6.45
11/27/2001,1.2,0.6,1.6,6.45
11/28/2001,0.1,0.4,0.1,4.88
11/29/2001,0.7,3.1,1.4,4.96
11/30/2001,0.2,0.5,0.1,5.4
12/1/2001,0,0,0.1,5.4
12/2/2001,0.2,0,0.1,4.88
12/3/2001,0.1,0.4,1.2,4.88
12/4/2001,0,0,0.06,4.88
12/5/2001,0,0,0,4.88
12/6/2001,0.06,0,0,4.88
12/7/2001,0.2,0.5,0.4,4.88
12/8/2001,3.4,2.5,3.1,4.62
12/9/2001,0.4,1.4,0.2,3.83
12/10/2001,0,0,0,3.83
12/11/2001,0,0,0,3.83
12/12/2001,0,0,0.1,3.83
12/13/2001,0.4,0.3,0.3,3.83
12/14/2001,0,0,0,3.83
12/15/2001,0.06,0.1,0,3.83
12/16/2001,0.1,0.1,0.1,3.83
12/17/2001,0.9,0.5,0.5,3.83
12/18/2001,7.3,4.2,3.4,3.83
12/19/2001,3.3,3.6,3.5,3.83
12/20/2001,0,0,0.06,3.83
12/21/2001,0,3.5,0.9,3.83
12/22/2001,0.2,0,0,3.83
12/23/2001,0.06,0,0,3.05
12/24/2001,0.4,0.7,0.3,2.26
12/25/2001,1.7,5.3,1.9,2.26
12/26/2001,1.8,2.2,1.5,2.26
12/27/2001,0.1,0,0.06,2.26
12/28/2001,0.7,0.06,0.7,2.26
12/29/2001,0.3,1.1,0.5,2.26
12/30/2001,0.2,0.1,0.1,2.35
12/31/2001,3.2,3.3,3,2.35
1/1/2002,0.06,1.9,0.3,1.23
1/2/2002,0,0,0,1.23
1/3/2002,0,0,0.4,1.24
1/4/2002,0.2,0.1,0.1,1.24
1/5/2002,0.06,0.1,0,1.24
1/6/2002,0.2,0,0.4,1.24
1/7/2002,5.3,4.7,3.3,1.24
1/8/2002,0,0,0.2,2.28
1/9/2002,0,0,0.1,1.5
1/10/2002,0,0,0,2.29
